Model,Seed,Parameters,MSE,MAE,RMSE,Spectral_MAE,HF_Error,LF_Error,Freq_Correlation,Latency_ms,Throughput_samples_per_sec
baseline_pinn,0,8577,1.1533211363712326e-07,0.0002329899143660441,0.00033960581640712917,1.7728737589095545e-07,1.3161050560484e-07,4.033962977700867e-05,0.9071227858203396,0.00019919921555811015,5020100.09024499
teacher,0,46409,8.612149571263217e-08,0.00021821814880240709,0.000293464632704854,1.6078961095900013e-07,1.2223981116221694e-07,3.4493397834012285e-05,0.9100665582916683,7.998709995687628e-05,12502015.956812203
psi_xlstm_clustering,0,16961,1.1524373633164942e-07,0.00023900746600702405,0.00033947566407732666,1.7218056314050045e-07,1.2930608761507756e-07,3.82220750907436e-05,0.8373590992765989,1.4228166653386627e-05,70283123.91617772
psi_xlstm_lowrank,0,7377,1.6681704551047005e-07,0.00029183540027588606,0.00040843241731636226,2.01149177314619e-07,1.4603647002786602e-07,4.888664261670783e-05,0.1837588916282148,2.59041000099387e-05,38603927.54877904
