Model,Seed,Parameters,MSE,MAE,RMSE,Spectral_MAE,HF_Error,LF_Error,Freq_Correlation,Latency_ms,Throughput_samples_per_sec
baseline_pinn,1,8577,7.131197321541549e-08,0.0002036850928561762,0.0002670430112630129,1.5231957206651714e-07,1.1849526515561593e-07,3.0516170227201656e-05,0.9039445973503216,0.00019210546781778248,5205473.906388383
teacher,1,46409,8.56046753483497e-08,0.00020086628501303494,0.0002925827575381845,1.793984978348817e-07,1.482843714484261e-07,2.7739586585084908e-05,0.831855450540805,0.00011627359999692999,8600404.563257724
psi_xlstm_clustering,1,16961,4.794775421146369e-08,0.00017884613771457225,0.00021896975522395223,1.3845823332303553e-07,1.1057639426326205e-07,2.475618020980619e-05,0.9035410321299285,1.4127233317897966e-05,70785268.2473282
psi_xlstm_lowrank,1,7377,1.6612848696695437e-07,0.00029184253071434796,0.00040758863906376064,2.005394037496444e-07,1.4603647002786602e-07,4.8276873712893575e-05,0.18375889372641488,2.42253333174934e-05,41279101.793736234
