Model,Parameters,MSE_mean,MSE_std,MSE_ci,HF_Error_mean,HF_Error_std,HF_Error_ci,Latency_mean_us,Latency_std_us,Latency_ci_us
baseline_pinn,8577,7.903088080259597e-08,2.704508800867613e-08,3.060439813044992e-08,1.2083708611498878e-07,8.013375208346546e-09,9.06798769396645e-09,0.19134244647981782,0.00674813082100012,0.00763622888622121
teacher,46409,7.441581336327847e-08,1.619026242391694e-08,1.832100664265029e-08,1.33230045662458e-07,1.1014154790073172e-08,1.2463689456572107e-08,0.10659647775658716,0.01904737042279971,0.02155412870427754
psi_xlstm_clustering,16961,7.55300308223165e-08,2.8781544754920622e-08,3.25693839194155e-08,1.2239264416772736e-07,8.395573700079817e-09,9.500486002055154e-09,0.014176822212498844,4.1224555872204254e-05,4.664997652287819e-05
psi_xlstm_lowrank,7377,1.662358547112793e-07,4.373476362909373e-10,4.949054400623576e-10,1.4603647002786602e-07,0.0,0.0,0.025699866654273745,0.0011298409721231407,0.001278535419217657
