Model,Seed,Parameters,MSE,MAE,RMSE,Spectral_MAE,HF_Error,LF_Error,Freq_Correlation,Latency_ms,Throughput_samples_per_sec
baseline_pinn,2,8577,5.0448555555249186e-08,0.00018081669986713678,0.00022460756008513272,1.4091484956679778e-07,1.1240548758451041e-07,2.5665844077593647e-05,0.9107311870626651,0.00018272265606356086,5472775.087355045
teacher,2,46409,5.152126902885357e-08,0.0001708174095256254,0.00022698297107126564,1.5556315702269785e-07,1.2916595437673095e-07,2.4260076315840706e-05,0.8804929230535908,0.00012352873331595524,8095282.5561827235
psi_xlstm_clustering,2,16961,6.33986019238364e-08,0.00018814361828844994,0.0002517907996661961,1.588810079056202e-07,1.272954506248425e-07,2.8331605790299363e-05,0.8747445300445598,1.4175066666211934e-05,70546405.427752
psi_xlstm_lowrank,2,7377,1.6576203165641346e-07,0.000292053708108142,0.0004071388393640518,2.0013244750316517e-07,1.4603647002786602e-07,4.7869907575659454e-05,0.1837588931786372,2.697016663538913e-05,37078005.987839974
