Cycle No.	Current
Cycle	A
94	8.544921875E-6
94	2.81097412109375E-4
95	8.392333984375E-6
95	2.794189453125E-4
96	8.75854492187495E-6
96	2.7783203125E-4
97	8.75854492187495E-6
97	2.7606201171875E-4
98	8.51440429687503E-6
98	2.7447509765625E-4
99	8.57543945312497E-6
99	2.7288818359375E-4
100	8.63647460937506E-6
100	2.71331787109375E-4
101	8.392333984375E-6
101	2.69500732421875E-4
102	8.392333984375E-6
102	2.68218994140625E-4
103	8.60595703124994E-6
103	2.6666259765625E-4
104	8.66699218750003E-6
104	2.65167236328125E-4
105	8.51440429687503E-6
105	2.63641357421875E-4
106	8.60595703124994E-6
106	2.62237548828125E-4
107	8.697509765625E-6
107	2.61016845703125E-4
108	8.697509765625E-6
108	2.596435546875E-4
109	8.66699218750003E-6
109	2.5811767578125E-4
110	8.63647460937506E-6
110	2.56683349609375E-4
111	8.33129882812506E-6
111	2.552490234375E-4
112	8.51440429687503E-6
112	2.54150390625E-4
113	8.57543945312497E-6
113	2.52838134765625E-4
114	8.544921875E-6
114	2.51495361328125E-4
115	8.48388671875005E-6
115	2.503662109375E-4
116	8.48388671875005E-6
116	2.48992919921875E-4
117	8.544921875E-6
117	2.47802734375E-4
118	8.60595703124994E-6
118	2.4664306640625E-4
119	8.57543945312497E-6
119	2.45452880859375E-4
120	8.66699218750003E-6
120	2.44171142578125E-4
121	8.63647460937506E-6
121	2.427978515625E-4
122	8.544921875E-6
122	2.4169921875E-4
123	8.33129882812506E-6
123	2.40631103515625E-4
124	8.33129882812506E-6
124	2.396240234375E-4
125	8.392333984375E-6
125	2.3846435546875E-4
126	8.60595703124994E-6
126	2.3748779296875E-4
127	8.544921875E-6
127	2.36328125E-4
128	8.33129882812506E-6
128	2.3529052734375E-4
129	8.45336914062494E-6
129	2.3419189453125E-4
130	8.63647460937506E-6
130	2.3333740234375E-4
131	8.66699218750003E-6
131	2.32147216796875E-4
132	8.30078124999994E-6
132	2.30865478515625E-4
