Voltage	Current	Scan No.
V	A	Scan
-0.00244140625	2.87078857421875E-7	1
-0.0048828125	-1.5106201171875E-7	1
-0.00732421875	-1.98944091796875E-7	1
-0.009765625	-4.44244384765625E-7	1
-0.01220703125	-4.18670654296875E-7	1
-0.0146484375	-4.37591552734375E-7	1
-0.01708984375	-3.96484375E-7	1
-0.01953125	-5.88104248046875E-7	1
-0.02197265625	-5.54443359375E-7	1
-0.0244140625	-4.48944091796875E-7	1
-0.02685546875	-5.89813232421875E-7	1
-0.029296875	-5.2520751953125E-7	1
-0.03173828125	-4.1204833984375E-7	1
-0.0341796875	-4.55474853515625E-7	1
-0.03662109375	-6.65679931640625E-7	1
-0.0390625	-7.464599609375E-7	1
-0.04150390625	-9.0423583984375E-7	1
-0.0439453125	-8.4197998046875E-7	1
-0.04638671875	-7.183837890625E-7	1
-0.048828125	-9.539794921875E-7	1
-0.05126953125	-9.1796875E-7	1
-0.0537109375	-9.5458984375E-7	1
-0.05615234375	-1.112060546875E-6	1
-0.05859375	-1.13861083984375E-6	1
-0.06103515625	-8.636474609375E-7	1
-0.0634765625	-1.05133056640625E-6	1
-0.06591796875	-1.38427734375E-6	1
-0.068359375	-1.13372802734375E-6	1
-0.07080078125	-1.16546630859375E-6	1
-0.0732421875	-1.3433837890625E-6	1
-0.07568359375	-1.51336669921875E-6	1
-0.078125	-1.41204833984375E-6	1
-0.08056640625	-1.26678466796875E-6	1
-0.0830078125	-1.2060546875E-6	1
-0.08544921875	-1.5264892578125E-6	1
-0.087890625	-1.514892578125E-6	1
-0.09033203125	-1.4654541015625E-6	1
-0.0927734375	-1.31591796875E-6	1
-0.09521484375	-1.690673828125E-6	1
-0.09765625	-1.66748046875E-6	1
-0.10009765625	-1.8743896484375E-6	1
-0.1025390625	-1.8377685546875E-6	1
-0.10498046875	-1.74285888671875E-6	1
-0.107421875	-1.8707275390625E-6	1
-0.10986328125	-1.787109375E-6	1
-0.1123046875	-1.92596435546875E-6	1
-0.11474609375	-1.76055908203125E-6	1
-0.1171875	-2.032470703125E-6	1
-0.11962890625	-1.59759521484375E-6	1
-0.1220703125	-1.77032470703125E-6	1
-0.12451171875	-2.11029052734375E-6	1
-0.126953125	-2.04986572265625E-6	1
-0.12939453125	-1.89117431640625E-6	1
-0.1318359375	-2.275390625E-6	1
-0.13427734375	-2.3565673828125E-6	1
-0.13671875	-2.2808837890625E-6	1
-0.13916015625	-2.34161376953125E-6	1
-0.1416015625	-2.0330810546875E-6	1
-0.14404296875	-2.4102783203125E-6	1
-0.146484375	-2.43255615234375E-6	1
-0.14892578125	-2.266845703125E-6	1
-0.1513671875	-2.76458740234375E-6	1
-0.15380859375	-2.6483154296875E-6	1
-0.15625	-2.46826171875E-6	1
-0.15869140625	-2.4859619140625E-6	1
-0.1611328125	-2.8216552734375E-6	1
-0.16357421875	-2.7642822265625E-6	1
-0.166015625	-2.87017822265625E-6	1
-0.16845703125	-2.80609130859375E-6	1
-0.1708984375	-2.86224365234375E-6	1
-0.17333984375	-2.94586181640625E-6	1
-0.17578125	-2.8955078125E-6	1
-0.17822265625	-2.6995849609375E-6	1
-0.1806640625	-2.901611328125E-6	1
-0.18310546875	-3.0413818359375E-6	1
-0.185546875	-2.75604248046875E-6	1
-0.18798828125	-3.2537841796875E-6	1
-0.1904296875	-3.25408935546875E-6	1
-0.19287109375	-3.30810546875E-6	1
-0.1953125	-3.004150390625E-6	1
-0.19775390625	-3.27789306640625E-6	1
-0.2001953125	-3.32977294921875E-6	1
-0.20263671875	-3.12744140625E-6	1
-0.205078125	-3.1707763671875E-6	1
-0.20751953125	-3.33038330078125E-6	1
-0.2099609375	-3.3612060546875E-6	1
-0.21240234375	-3.66790771484375E-6	1
-0.21484375	-3.37860107421875E-6	1
-0.21728515625	-3.5504150390625E-6	1
-0.2197265625	-3.53668212890625E-6	1
-0.22216796875	-3.399658203125E-6	1
