Time	Current	Time	Current
s	A	s	A
	Short Pulses		Single Pulse
0.240322999393243	1.4007568359375E-5	0.240886999391819	1.9622802734375E-5
0.240417999393003	2.081298828125E-5	0.240979999391584	1.8585205078125E-5
0.240515999392755	1.971435546875E-5	0.241077999391337	1.86767578125E-5
0.240622999392485	2.099609375E-5	0.241184999391066	1.953125E-5
0.240717999392245	1.94091796875E-5	0.241277999390832	1.910400390625E-5
0.240814999392001	2.1240234375E-5	0.241385999390559	1.94091796875E-5
0.240922999391728	2.099609375E-5	0.241478999390324	1.8829345703125E-5
0.241017999391488	1.983642578125E-5	0.241586999390051	1.959228515625E-5
0.241114999391243	2.0172119140625E-5	0.241679999389817	1.9195556640625E-5
0.24122299939097	1.94091796875E-5	0.241776999389572	1.9866943359375E-5
0.241316999390733	1.9500732421875E-5	0.241884999389299	1.8829345703125E-5
0.241423999390463	2.0660400390625E-5	0.241977999389064	1.9256591796875E-5
0.241518999390223	1.96533203125E-5	0.242084999388794	1.91650390625E-5
0.241615999389978	1.9439697265625E-5	0.242178999388557	1.9683837890625E-5
0.241723999389706	2.008056640625E-5	0.242285999388287	1.9866943359375E-5
0.241818999389466	1.9622802734375E-5	0.242378999388052	1.9744873046875E-5
0.241915999389221	1.9073486328125E-5	0.242486999387779	2.06298828125E-5
0.242023999388948	2.4017333984375E-5	0.242580999387542	1.9683837890625E-5
0.242117999388711	1.9287109375E-5	0.242676999387299	1.96533203125E-5
0.242214999388466	1.953125E-5	0.242784999387027	1.9744873046875E-5
0.242322999388193	2.03857421875E-5	0.242877999386792	2.0233154296875E-5
0.242417999387953	1.983642578125E-5	0.242985999386519	2.020263671875E-5
0.242514999387708	1.9683837890625E-5	0.243078999386285	1.873779296875E-5
0.242621999387438	2.2430419921875E-5	0.243185999386014	1.94091796875E-5
0.242716999387198	1.4984130859375E-5	0.243279999385777	1.934814453125E-5
0.242824999386926	1.9195556640625E-5	0.243387999385504	1.9195556640625E-5
0.242918999386688	1.8768310546875E-5	0.24348099938527	2.1026611328125E-5
0.243015999386444	2.0111083984375E-5	0.243577999385025	2.001953125E-5
