model,mse,mae,rmse,hf_mismatch_db,lf_mismatch_db,dc_offset,latency_us_per_sample,parameters
baseline_pinn,2800835242.6666718,27579.819376192678,30555.06268449218,0.0,69.82406743367513,-27579.81389946738,5.377338329148085,19041.0
fourier_pinn,2801111040.0000215,27581.565471825346,30556.569010474817,0.0,66.0536282857259,-27581.558332108078,10.94110136650555,57857.0
exp_gate_rnn,2801163776.00004,27581.807901814882,30556.856680458324,0.0,67.7881031036377,-27581.802460807387,17.321121225248604,66326.33333333333
