 time           time           v(p)           v(s0)          v(s1)          v(w_mem)       v(n)          
 1.7645120e-06  1.7645120e-06  1.0527608e+00  2.4463862e-06  2.4548782e-06  5.0000159e-01  5.3164584e-03 
 1.8145120e-06  1.8145120e-06  1.0793411e+00  2.5648919e-06  2.5737952e-06  5.0000167e-01  5.4506906e-03 
 1.8645120e-06  1.8645120e-06  1.1056552e+00  2.6848728e-06  2.6941926e-06  5.0000175e-01  5.5835780e-03 
 1.9145120e-06  1.9145120e-06  1.1316965e+00  2.8062538e-06  2.8159950e-06  5.0000183e-01  5.7150878e-03 
 1.9645120e-06  1.9645120e-06  1.1574585e+00  2.9289633e-06  2.9391303e-06  5.0000191e-01  5.8451875e-03 
 2.0145120e-06  2.0145120e-06  1.1829350e+00  3.0529324e-06  3.0635298e-06  5.0000199e-01  5.9738450e-03 
 2.0645120e-06  2.0645120e-06  1.2081196e+00  3.1780959e-06  3.1891278e-06  5.0000207e-01  6.1010287e-03 
 2.1145120e-06  2.1145120e-06  1.2330061e+00  3.3043913e-06  3.3158616e-06  5.0000215e-01  6.2267070e-03 
 2.1645120e-06  2.1645120e-06  1.2575884e+00  3.4317592e-06  3.4436716e-06  5.0000223e-01  6.3508491e-03 
 2.2145120e-06  2.2145120e-06  1.2818604e+00  3.5601430e-06  3.5725010e-06  5.0000232e-01  6.4734242e-03 
 2.2645120e-06  2.2645120e-06  1.3058161e+00  3.6894890e-06  3.7022961e-06  5.0000240e-01  6.5944022e-03 
 2.3145120e-06  2.3145120e-06  1.3294496e+00  3.8197462e-06  3.8330054e-06  5.0000248e-01  6.7137531e-03 
 2.3645120e-06  2.3645120e-06  1.3527551e+00  3.9508660e-06  3.9645803e-06  5.0000257e-01  6.8314476e-03 
 2.4145120e-06  2.4145120e-06  1.3757268e+00  4.0828024e-06  4.0969747e-06  5.0000266e-01  6.9474566e-03 
 2.4645120e-06  2.4645120e-06  1.3983591e+00  4.2155116e-06  4.2301446e-06  5.0000274e-01  7.0617514e-03 
 2.5145120e-06  2.5145120e-06  1.4206464e+00  4.3489524e-06  4.3640486e-06  5.0000283e-01  7.1743039e-03 
 2.5645120e-06  2.5645120e-06  1.4425831e+00  4.4830854e-06  4.4986472e-06  5.0000292e-01  7.2850862e-03 
 2.6145120e-06  2.6145120e-06  1.4641639e+00  4.6178734e-06  4.6339030e-06  5.0000300e-01  7.3940712e-03 
 2.6645120e-06  2.6645120e-06  1.4853834e+00  4.7532812e-06  4.7697809e-06  5.0000309e-01  7.5012318e-03 
 2.7145120e-06  2.7145120e-06  1.5062365e+00  4.8892754e-06  4.9062471e-06  5.0000318e-01  7.6065416e-03 
 2.7645120e-06  2.7645120e-06  1.5267179e+00  5.0258244e-06  5.0432701e-06  5.0000327e-01  7.7099747e-03 
 2.8145120e-06  2.8145120e-06  1.5468226e+00  5.1628982e-06  5.1808197e-06  5.0000336e-01  7.8115055e-03 
 2.8645120e-06  2.8645120e-06  1.5665456e+00  5.3004685e-06  5.3188676e-06  5.0000345e-01  7.9111089e-03 
 2.9145120e-06  2.9145120e-06  1.5858822e+00  5.4385085e-06  5.4573868e-06  5.0000354e-01  8.0087605e-03 
 2.9645120e-06  2.9645120e-06  1.6048274e+00  5.5769928e-06  5.5963518e-06  5.0000363e-01  8.1044360e-03 
 3.0145120e-06  3.0145120e-06  1.6233767e+00  5.7158973e-06  5.7357384e-06  5.0000372e-01  8.1981120e-03 
 3.0645120e-06  3.0645120e-06  1.6415254e+00  5.8551992e-06  5.8755239e-06  5.0000381e-01  8.2897652e-03 
 3.1145120e-06  3.1145120e-06  1.6592691e+00  5.9948770e-06  6.0156865e-06  5.0000390e-01  8.3793730e-03 
 3.1645120e-06  3.1645120e-06  1.6766034e+00  6.1349102e-06  6.1562058e-06  5.0000399e-01  8.4669135e-03 
 3.2145120e-06  3.2145120e-06  1.6935240e+00  6.2752794e-06  6.2970623e-06  5.0000408e-01  8.5523648e-03 
 3.2645120e-06  3.2645120e-06  1.7100268e+00  6.4159664e-06  6.4382376e-06  5.0000417e-01  8.6357061e-03 
 3.3145120e-06  3.3145120e-06  1.7261077e+00  6.5569536e-06  6.5797142e-06  5.0000427e-01  8.7169166e-03 
 3.3645120e-06  3.3645120e-06  1.7417626e+00  6.6982246e-06  6.7214756e-06  5.0000436e-01  8.7959764e-03 
 3.4145120e-06  3.4145120e-06  1.7569878e+00  6.8397638e-06  6.8635061e-06  5.0000445e-01  8.8728660e-03 
 3.4645120e-06  3.4645120e-06  1.7717795e+00  6.9815562e-06  7.0057907e-06  5.0000454e-01  8.9475663e-03 
 3.5145120e-06  3.5145120e-06  1.7861341e+00  7.1235878e-06  7.1483153e-06  5.0000463e-01  9.0200590e-03 
 3.5645120e-06  3.5645120e-06  1.8000479e+00  7.2658452e-06  7.2910665e-06  5.0000473e-01  9.0903262e-03 
 3.6145120e-06  3.6145120e-06  1.8135176e+00  7.4083156e-06  7.4340315e-06  5.0000482e-01  9.1583504e-03 
 3.6645120e-06  3.6645120e-06  1.8265399e+00  7.5509869e-06  7.5771980e-06  5.0000491e-01  9.2241151e-03 
 3.7145120e-06  3.7145120e-06  1.8391114e+00  7.6938475e-06  7.7205545e-06  5.0000501e-01  9.2876038e-03 
 3.7645120e-06  3.7645120e-06  1.8512292e+00  7.8368864e-06  7.8640899e-06  5.0000510e-01  9.3488010e-03 
