time,AV,AI
0.360126,-1.939,-0.000209425
0.480168,-1.919,-0.000196899
0.600211,-1.899,-0.00019006
0.720253,-1.879,-0.000175515
0.840295,-1.859,-0.000121394
0.960337,-1.838,-0.000119832
1.08038,-1.818,-0.000193771
1.20042,-1.798,-0.000107262
1.32046,-1.778,-0.000107674
1.4405,-1.758,-0.000108439
1.56055,-1.737,-0.000100961
1.68059,-1.717,-0.000115591
1.80063,-1.697,-0.00011087
1.94098,-1.677,-9.13377e-05
2.06102,-1.657,-8.64411e-05
2.18107,-1.636,-9.12045e-05
2.30111,-1.616,-8.56477e-05
2.42115,-1.596,-8.30242e-05
2.56147,-1.576,-0.000170409
2.68151,-1.556,-0.000160823
2.80156,-1.535,-0.000158437
2.9216,-1.515,-0.000152073
3.04164,-1.495,-0.00014632
3.16168,-1.475,-0.000145117
3.28172,-1.455,-0.000140876
3.40177,-1.434,-0.00013514
3.52181,-1.414,-0.000135371
3.64185,-1.394,-0.000130796
3.76189,-1.374,-0.000126491
3.88193,-1.354,-0.000126319
4.00198,-1.333,-0.000119769
4.12202,-1.313,-0.00011894
4.24207,-1.293,-0.000114093
4.36211,-1.273,-0.000107006
4.48215,-1.253,-0.000109208
4.60219,-1.232,-0.000105679
4.72223,-1.212,-0.00010148
4.86255,-1.192,-9.89768e-05
4.9826,-1.172,-9.50371e-05
5.10264,-1.152,-9.47261e-05
5.22268,-1.131,-8.96243e-05
5.34272,-1.111,-9.06173e-05
5.46277,-1.091,-8.34726e-05
5.58281,-1.071,-8.001e-05
5.70285,-1.051,-7.68971e-05
5.82289,-1.03,-7.46252e-05
5.94293,-1.01,-7.53159e-05
6.06349,-0.99,-7.0852e-05
6.18353,-0.97,-7.01786e-05
6.30358,-0.949,-7.01811e-05
6.42362,-0.929,-6.6579e-05
6.54366,-0.909,-6.76296e-05
6.6637,-0.889,-6.08559e-05
6.78375,-0.869,-5.8324e-05
6.90379,-0.848,-5.70956e-05
7.02383,-0.828,-6.49102e-05
7.14387,-0.808,-6.5054e-05
7.26392,-0.788,-5.00008e-05
7.38396,-0.768,-4.8926e-05
7.504,-0.747,-4.80121e-05
7.62404,-0.727,-4.69945e-05
7.74408,-0.707,-4.38195e-05
7.86413,-0.687,-4.27036e-05
7.98417,-0.667,-4.11537e-05
8.10421,-0.646,-3.91317e-05
8.22425,-0.626,-4.07153e-05
8.3443,-0.606,-4.71138e-05
8.46434,-0.586,-3.64819e-05
8.58438,-0.566,-3.65072e-05
8.70443,-0.545,-3.3341e-05
8.82447,-0.525,-3.13281e-05
8.94451,-0.505,-2.90351e-05
9.06455,-0.485,-2.74709e-05
9.18459,-0.465,-2.61743e-05
9.30464,-0.444,-2.4689e-05
9.42468,-0.424,-2.37619e-05
9.54472,-0.404,-2.24476e-05
9.66476,-0.384,-2.17167e-05
9.78481,-0.364,-2.04356e-05
9.90485,-0.343,-1.90347e-05
10.0249,-0.323,-1.75438e-05
10.1449,-0.303,-1.61997e-05
10.265,-0.283,-1.50765e-05
10.385,-0.263,-1.36505e-05
10.5051,-0.242,-1.23928e-05
10.6251,-0.222,-1.13251e-05
10.7451,-0.202,-1.0246e-05
10.8857,-0.182,-9.24602e-06
11.0057,-0.162,-8.16163e-06
11.1258,-0.141,-7.06425e-06
11.2458,-0.121,-6.12863e-06
11.3658,-0.101,-5.05367e-06
11.4864,-0.081,-4.04524e-06
11.6064,-0.061,-3.06555e-06
11.7265,-0.04,-2.01939e-06
11.8465,-0.02,-1.01135e-06
12.0318,0.0,-3.37148e-10
