Voltage,Current,Voltage.1,Current.1,Voltage.2,Current.2,Voltage.3,Current.3,Voltage.4,Current.4,Voltage.5,Current.5,Voltage.6,Current.6,Voltage.7,Current.7,Voltage.8,Current.8,Voltage.9,Current.9,Voltage.10,Current.10,Voltage.11,Current.11,Voltage.12,Current.12,Voltage.13,Current.13,Voltage.14,Current.14,Voltage.15,Current.15,Voltage.16,Current.16,Voltage.17,Current.17,Voltage.18,Current.18,Voltage.19,Current.19
0.019989013671875,2.09655761718749e-06,0.019989013671875,3.32641601562503e-06,0.019989013671875,3.509521484375e-06,0.019989013671875,2.62451171874997e-06,0.019989013671875,2.74658203125e-06,0.019989013671875,2.65502929687494e-06,0.019989013671875,3.75366210937506e-06,0.019989013671875,3.11279296874994e-06,0.019989013671875,2.65502929687494e-06,0.019989013671875,2.593994140625e-06,0.019989013671875,2.92968749999997e-06,0.019989013671875,1.83715820312499e-06,0.019989013671875,2.25830078125003e-06,0.019989013671875,2.68554687500006e-06,0.019989013671875,2.01416015624997e-06,0.019989013671875,1.49536132812503e-06,0.019989013671875,2.16674804687497e-06,0.019989013671875,2.25830078125003e-06,0.019989013671875,4.24194335937503e-06,0.019989013671875,2.09197998046875e-06
0.03997802734375,2.850341796875e-06,0.03997802734375,4.57763671875e-06,0.03997802734375,4.60815429687497e-06,0.03997802734375,3.17382812500003e-06,0.03997802734375,3.41796874999994e-06,0.03997802734375,2.86865234375003e-06,0.03997802734375,4.63867187499994e-06,0.03997802734375,3.29589843750006e-06,0.03997802734375,2.96020507812494e-06,0.03997802734375,3.23486328124997e-06,0.03997802734375,3.38745117187497e-06,0.03997802734375,2.50244140625e-06,0.03997802734375,2.62451171874997e-06,0.03997802734375,2.96020507812494e-06,0.03997802734375,2.44140625e-06,0.03997802734375,1.86157226562497e-06,0.03997802734375,2.50244140624994e-06,0.03997802734375,2.77709960937497e-06,0.03997802734375,5.18798828125e-06,0.03997802734375,2.47772216796875e-06
0.059967041015625,3.2928466796875e-06,0.059967041015625,5.67626953124997e-06,0.059967041015625,5.76782226562503e-06,0.059967041015625,3.78417968750003e-06,0.059967041015625,4.05883789062506e-06,0.059967041015625,2.99072265625006e-06,0.059967041015625,5.950927734375e-06,0.059967041015625,3.29589843750006e-06,0.059967041015625,3.26538085937494e-06,0.059967041015625,3.87573242187494e-06,0.059967041015625,3.72314453124994e-06,0.059967041015625,2.655029296875e-06,0.059967041015625,3.14331054687506e-06,0.059967041015625,3.32641601562503e-06,0.059967041015625,2.74658203125e-06,0.059967041015625,2.31933593749997e-06,0.059967041015625,2.77709960937497e-06,0.059967041015625,3.08227539062497e-06,0.059967041015625,6.43920898437497e-06,0.059967041015625,2.728271484375e-06
0.0799560546875,4.32434082031249e-06,0.0799560546875,6.866455078125e-06,0.0799560546875,6.92749023437494e-06,0.0799560546875,4.18090820312494e-06,0.0799560546875,4.60815429687497e-06,0.0799560546875,3.204345703125e-06,0.0799560546875,6.98852539062503e-06,0.0799560546875,3.57055664062494e-06,0.0799560546875,3.57055664062494e-06,0.0799560546875,4.33349609374994e-06,0.0799560546875,4.18090820312494e-06,0.0799560546875,3.27148437499999e-06,0.0799560546875,3.69262695312497e-06,0.0799560546875,3.662109375e-06,0.0799560546875,3.17382812500003e-06,0.0799560546875,2.65502929687494e-06,0.0799560546875,2.92968749999997e-06,0.0799560546875,3.57055664062494e-06,0.0799560546875,7.476806640625e-06,0.0799560546875,3.13629150390625e-06
0.099945068359375,5.07202148437499e-06,0.099945068359375,7.96508789062497e-06,0.099945068359375,7.99560546874994e-06,0.099945068359375,4.66918945312506e-06,0.099945068359375,5.15747070312503e-06,0.099945068359375,3.41796874999994e-06,0.099945068359375,7.99560546874994e-06,0.099945068359375,3.54003906249997e-06,0.099945068359375,3.662109375e-06,0.099945068359375,4.94384765624994e-06,0.099945068359375,4.63867187499994e-06,0.099945068359375,3.85131835937499e-06,0.099945068359375,4.02832031249994e-06,0.099945068359375,3.96728515625e-06,0.099945068359375,3.47900390625003e-06,0.099945068359375,3.11279296874994e-06,0.099945068359375,3.32641601562503e-06,0.099945068359375,4.02832031249994e-06,0.099945068359375,8.45336914062494e-06,0.099945068359375,3.53179931640625e-06
0.11993408203125,5.3741455078125e-06,0.11993408203125,9.12475585937503e-06,0.11993408203125,9.33837890624997e-06,0.11993408203125,5.15747070312503e-06,0.11993408203125,5.70678710937494e-06,0.11993408203125,3.63159179687503e-06,0.11993408203125,8.88061523437497e-06,0.11993408203125,3.814697265625e-06,0.11993408203125,3.96728515625e-06,0.11993408203125,5.43212890625006e-06,0.11993408203125,5.12695312500006e-06,0.11993408203125,4.2144775390625e-06,0.11993408203125,4.425048828125e-06,0.11993408203125,4.36401367187506e-06,0.11993408203125,3.78417968750003e-06,0.11993408203125,3.57055664062494e-06,0.11993408203125,3.509521484375e-06,0.11993408203125,4.425048828125e-06,0.11993408203125,9.55200195312506e-06,0.11993408203125,3.77960205078125e-06
0.139923095703125,6.68945312499999e-06,0.139923095703125,1.02844238281249e-05,0.139923095703125,1.03759765625e-05,0.139923095703125,5.70678710937494e-06,0.139923095703125,6.34765625000006e-06,0.139923095703125,3.72314453124994e-06,0.139923095703125,1.007080078125e-05,0.139923095703125,3.90625000000006e-06,0.139923095703125,4.2724609375e-06,0.139923095703125,5.950927734375e-06,0.139923095703125,5.58471679687506e-06,0.139923095703125,4.31213378906251e-06,0.139923095703125,4.97436523437506e-06,0.139923095703125,4.60815429687497e-06,0.139923095703125,4.15039062499997e-06,0.139923095703125,3.96728515625e-06,0.139923095703125,3.78417968750003e-06,0.139923095703125,4.79125976562494e-06,0.139923095703125,1.0650634765625e-05,0.139923095703125,4.00848388671875e-06
0.159912109375,7.39440917968751e-06,0.159912109375,1.15966796875e-05,0.159912109375,1.15966796875e-05,0.159912109375,6.07299804687503e-06,0.159912109375,6.92749023437494e-06,0.159912109375,3.90625000000006e-06,0.159912109375,1.10778808593751e-05,0.159912109375,3.93676757812503e-06,0.159912109375,4.57763671875e-06,0.159912109375,6.561279296875e-06,0.159912109375,6.01196289062494e-06,0.159912109375,4.99267578125e-06,0.159912109375,5.40161132812494e-06,0.159912109375,4.8828125e-06,0.159912109375,4.60815429687497e-06,0.159912109375,4.2724609375e-06,0.159912109375,4.08935546875003e-06,0.159912109375,5.24902343749994e-06,0.159912109375,1.18103027343749e-05,0.159912109375,4.39422607421875e-06
0.179901123046875,8.1146240234375e-06,0.179901123046875,1.27258300781249e-05,0.179901123046875,1.26037597656251e-05,0.179901123046875,6.65283203125006e-06,0.179901123046875,7.41577148437506e-06,0.179901123046875,4.119873046875e-06,0.179901123046875,1.220703125e-05,0.179901123046875,4.08935546875003e-06,0.179901123046875,4.91333007812497e-06,0.179901123046875,7.14111328125003e-06,0.179901123046875,6.40869140625e-06,0.179901123046875,5.401611328125e-06,0.179901123046875,5.92041015625003e-06,0.179901123046875,5.340576171875e-06,0.179901123046875,4.85229492187503e-06,0.179901123046875,4.69970703125003e-06,0.179901123046875,4.33349609374994e-06,0.179901123046875,5.61523437500003e-06,0.179901123046875,1.2786865234375e-05,0.179901123046875,4.6783447265625e-06
0.19989013671875,8.8470458984375e-06,0.19989013671875,1.385498046875e-05,0.19989013671875,1.38244628906251e-05,0.19989013671875,7.08007812499994e-06,0.19989013671875,8.05664062500003e-06,0.19989013671875,4.08935546875003e-06,0.19989013671875,1.32141113281251e-05,0.19989013671875,4.36401367187506e-06,0.19989013671875,5.12695312500006e-06,0.19989013671875,7.65991210937497e-06,0.19989013671875,6.80541992187506e-06,0.19989013671875,5.56640625e-06,0.19989013671875,6.256103515625e-06,0.19989013671875,5.58471679687506e-06,0.19989013671875,5.24902343749994e-06,0.19989013671875,5.06591796874997e-06,0.19989013671875,4.39453125000003e-06,0.19989013671875,6.07299804687503e-06,0.19989013671875,1.38244628906251e-05,0.19989013671875,4.9395751953125e-06
