Voltage	Current	Upper Vertex
V	A	V
-0.00244140625	-2.36297607421875E-6	0.75 V
-0.0048828125	-2.54608154296875E-6	0.75 V
-0.00732421875	-2.7130126953125E-6	0.75 V
-0.009765625	-2.65777587890625E-6	0.75 V
-0.01220703125	-2.5396728515625E-6	0.75 V
-0.0146484375	-2.88299560546875E-6	0.75 V
-0.01708984375	-2.786865234375E-6	0.75 V
-0.01953125	-2.31597900390625E-6	0.75 V
-0.02197265625	-2.75665283203125E-6	0.75 V
-0.0244140625	-2.886962890625E-6	0.75 V
-0.02685546875	-3.1207275390625E-6	0.75 V
-0.029296875	-2.8094482421875E-6	0.75 V
-0.03173828125	-2.97943115234375E-6	0.75 V
-0.0341796875	-2.91656494140625E-6	0.75 V
-0.03662109375	-2.9248046875E-6	0.75 V
-0.0390625	-2.965087890625E-6	0.75 V
-0.04150390625	-2.8106689453125E-6	0.75 V
-0.0439453125	-3.2122802734375E-6	0.75 V
-0.04638671875	-3.1768798828125E-6	0.75 V
-0.048828125	-2.85675048828125E-6	0.75 V
-0.05126953125	-3.0865478515625E-6	0.75 V
-0.0537109375	-3.43597412109375E-6	0.75 V
-0.05615234375	-3.12408447265625E-6	0.75 V
-0.05859375	-3.23028564453125E-6	0.75 V
-0.06103515625	-3.44207763671875E-6	0.75 V
-0.0634765625	-3.34625244140625E-6	0.75 V
-0.06591796875	-3.402099609375E-6	0.75 V
-0.068359375	-3.27667236328125E-6	0.75 V
-0.07080078125	-3.37127685546875E-6	0.75 V
-0.0732421875	-3.4478759765625E-6	0.75 V
-0.07568359375	-3.67431640625E-6	0.75 V
-0.078125	-3.3685302734375E-6	0.75 V
-0.08056640625	-3.538818359375E-6	0.75 V
-0.0830078125	-3.77166748046875E-6	0.75 V
-0.08544921875	-3.52447509765625E-6	0.75 V
-0.087890625	-3.651123046875E-6	0.75 V
-0.09033203125	-3.85528564453125E-6	0.75 V
-0.0927734375	-3.70697021484375E-6	0.75 V
-0.09521484375	-3.82110595703125E-6	0.75 V
-0.09765625	-3.78997802734375E-6	0.75 V
-0.10009765625	-3.597412109375E-6	0.75 V
-0.1025390625	-3.9532470703125E-6	0.75 V
-0.10498046875	-3.96392822265625E-6	0.75 V
-0.107421875	-3.81195068359375E-6	0.75 V
-0.10986328125	-3.80584716796875E-6	0.75 V
-0.1123046875	-3.90838623046875E-6	0.75 V
-0.11474609375	-4.08416748046875E-6	0.75 V
-0.1171875	-3.99810791015625E-6	0.75 V
-0.11962890625	-4.13848876953125E-6	0.75 V
-0.1220703125	-4.144287109375E-6	0.75 V
-0.12451171875	-4.22119140625E-6	0.75 V
-0.126953125	-4.22454833984375E-6	0.75 V
-0.12939453125	-4.1851806640625E-6	0.75 V
