Time	Current	Time	Current	Time	Current	Time	Current
s	A	s	A	s	A	s	A
0.8 V	0.8 V	1.2 V	1.2 V	1.4 V	1.4 V	1.6 V	1.6 V
0.0610229998459317	-1.8310546875E-6	0.0610259998459242	-4.2724609375E-6	0.0610149998459519	-5.4931640625E-6	0.0610019998459848	-5.4931640625E-6
0.0611259998456717	-1.220703125E-6	0.0611279998456666	-1.8310546875E-6	0.0611169998456944	-5.18798828125E-6	0.0611039998457272	-4.8828125E-6
0.0612199998454344	-2.44140625E-6	0.0612229998454268	-3.96728515625E-6	0.0612119998454546	-3.35693359375E-6	0.0612069998454672	-4.2724609375E-6
0.0613229998451743	-2.13623046875E-6	0.0613249998451693	-3.35693359375E-6	0.061313999845197	-4.2724609375E-6	0.0613019998452273	-4.8828125E-6
0.0614249998449168	-4.2724609375E-6	0.0614279998449092	-4.2724609375E-6	0.061416999844937	-3.662109375E-6	0.0614039998449698	-4.2724609375E-6
0.0615199998446769	-2.13623046875E-6	0.0615219998446719	-1.220703125E-6	0.0615119998446971	-3.96728515625E-6	0.0615039998447173	-3.96728515625E-6
0.0616219998444194	-2.44140625E-6	0.0616249998444118	3.0517578125E-7	0.0616149998444371	-4.57763671875E-6	0.0616059998444598	-4.8828125E-6
0.0617239998441619	0	0.0617269998441543	-3.96728515625E-6	0.0617169998441796	-2.13623046875E-6	0.0617079998442023	-5.18798828125E-6
0.061818999843922	-1.52587890625E-6	0.0618289998438968	-3.662109375E-6	0.0618109998439422	-3.35693359375E-6	0.0618029998439624	-5.18798828125E-6
0.0619209998436645	-1.52587890625E-6	0.0619239998436569	-3.662109375E-6	0.0619109998436898	-3.662109375E-6	0.0619049998437049	-3.35693359375E-6
0.0620239998434045	-9.1552734375E-7	0.0620269998433969	-1.8310546875E-6	0.0620129998434322	-3.35693359375E-6	0.0620069998434474	-3.96728515625E-6
0.0621189998431646	-1.52587890625E-6	0.062121999843157	-3.662109375E-6	0.0621149998431747	-1.220703125E-6	0.0621019998432075	-3.96728515625E-6
0.0622209998429071	-5.18798828125E-6	0.0622239998428995	-3.662109375E-6	0.0622179998429147	-3.0517578125E-6	0.06220399984295	-3.0517578125E-6
0.0623199998426571	-1.52587890625E-6	0.062325999842642	-3.35693359375E-6	0.0623129998426748	-3.35693359375E-6	0.0623069998426899	-2.44140625E-6
0.0624229998423971	-6.103515625E-7	0.0624259998423895	-2.13623046875E-6	0.0624149998424173	-8.23974609375E-6	0.0624009998424526	-3.0517578125E-6
0.0625249998421396	-2.44140625E-6	0.062527999842132	-2.44140625E-6	0.0625179998421572	-1.220703125E-6	0.0625029998421951	-1.52587890625E-6
0.0626189998419022	-1.52587890625E-6	0.0626219998418946	-3.35693359375E-6	0.0626119998419199	-3.0517578125E-6	0.062605999841935	-2.44140625E-6
