Time	Current	Time	Current	Time	Current	Time	Current	Time	Current
s	A	s	A	s	A	s	A	s	A
	10 ms		20 ms		30 ms		40 ms		50 ms
0	-1.220703125E-6	0	-6.103515625E-7	0	9.1552734375E-7	0	-9.1552734375E-7	0	-2.13623046875E-6
1.74999999558167E-4	-9.1552734375E-7	1.71999999565742E-4	2.13623046875E-6	1.75999999555643E-4	0	1.72999999563217E-4	3.0517578125E-7	1.70999999568267E-4	-3.0517578125E-7
2.64999999330939E-4	0	2.75999999303167E-4	-1.220703125E-6	2.6699999932589E-4	-3.0517578125E-7	2.6899999932084E-4	6.103515625E-6	2.57999999348613E-4	-3.0517578125E-7
3.52999999108761E-4	-1.220703125E-6	3.79999999040592E-4	-1.52587890625E-6	3.52999999108761E-4	-2.13623046875E-6	3.64999999078464E-4	-9.1552734375E-7	3.42999999134008E-4	-6.103515625E-7
4.39999998889107E-4	-1.220703125E-6	4.82999998780542E-4	-6.7138671875E-6	4.36999998896681E-4	-9.1552734375E-7	4.60999998836087E-4	-6.103515625E-7	4.28999998916879E-4	0
5.27999998666928E-4	0	5.85999998520492E-4	-9.1552734375E-7	5.21999998682077E-4	-1.52587890625E-6	5.5699999859371E-4	0	5.13999998702275E-4	-6.103515625E-7
6.14999998447274E-4	-6.103515625E-7	6.89999998257917E-4	-3.0517578125E-7	6.05999998469997E-4	2.44140625E-6	6.52999998351333E-4	0	5.9899999848767E-4	0
7.0199999822762E-4	-3.0517578125E-7	7.92999997997867E-4	3.0517578125E-7	6.89999998257917E-4	-6.103515625E-7	7.48999998108957E-4	-3.0517578125E-7	6.83999998273066E-4	0
7.88999998007966E-4	-6.103515625E-7	8.95999997737817E-4	-3.0517578125E-7	7.74999998043313E-4	2.13623046875E-6	8.43999997869105E-4	-1.52587890625E-6	7.69999998055937E-4	-6.103515625E-7
