Time	Current	Time	Current	Time	Current	Time	Current	Time	Current
s	A	s	A	s	A	s	A	s	A
	10 ms		20 ms		30 ms		40 ms		50 ms
1.86112099530112	-1.007080078125E-5	1.87135699527528	-9.46044921875E-6	1.88237699524745	-1.03759765625E-5	1.89252099522184	-1.03759765625E-5	1.90162699519885	-1.434326171875E-5
1.86125799530078	-6.7138671875E-6	1.87148899527494	-7.32421875E-6	1.88251199524711	-8.23974609375E-6	1.89265999522149	-8.544921875E-6	1.90176899519849	-1.129150390625E-5
1.86135099530054	-6.103515625E-6	1.87158099527471	-7.01904296875E-6	1.88261299524686	-1.373291015625E-5	1.89276199522124	-8.85009765625E-6	1.90187199519823	-9.46044921875E-6
1.8614449953003	-5.4931640625E-6	1.87167299527448	-1.15966796875E-5	1.8827139952466	-6.103515625E-6	1.89285999522099	-7.9345703125E-6	1.90197299519798	-7.9345703125E-6
1.86153799530007	-5.79833984375E-6	1.87176499527425	-4.57763671875E-6	1.88281399524635	-3.35693359375E-6	1.89295799522074	-9.1552734375E-6	1.90207299519773	-8.544921875E-6
1.86163199529983	-4.2724609375E-6	1.87185599527402	-5.18798828125E-6	1.8829139952461	-5.4931640625E-6	1.89305599522049	-8.544921875E-6	1.90217299519747	-7.9345703125E-6
1.86172599529959	-6.40869140625E-6	1.87194799527379	-4.2724609375E-6	1.88301499524584	-5.18798828125E-6	1.89315399522025	-6.40869140625E-6	1.90227399519722	-7.9345703125E-6
1.86181899529936	-4.2724609375E-6	1.87203899527356	-3.96728515625E-6	1.88311599524559	-8.23974609375E-6	1.89325199522	-1.8310546875E-6	1.90237499519696	-8.23974609375E-6
1.86191299529912	-3.96728515625E-6	1.8721409952733	-5.79833984375E-6	1.88321599524534	-4.8828125E-6	1.89334999521975	-6.103515625E-6	1.90247499519671	-7.9345703125E-6
