model,disturbance_amplitude_rel,peak_abs_error,recovery_time_s,integrated_abs_error
baseline_pinn,0.02,0.0001281102595385164,0.0,2.6155579035958e-08
psi_xlstm_clustering,0.02,0.00011540672858245671,0.0,3.082246990970816e-08
baseline_pinn,0.05,0.0001281102595385164,0.0,2.617989203201887e-08
psi_xlstm_clustering,0.05,0.00011540672858245671,0.0,3.086924493800325e-08
baseline_pinn,0.1,0.0001281102595385164,1.00000761449337e-07,2.624919659410807e-08
psi_xlstm_clustering,0.1,0.00011540672858245671,1.500011421740055e-07,3.097939682561446e-08
baseline_pinn,0.2,0.0001281102595385164,8.000191883184016e-06,2.647086638773999e-08
psi_xlstm_clustering,0.2,0.00011540672858245671,8.000191883184016e-06,3.121341052292337e-08
