model,peak_abs_error,recovery_time_s,integrated_abs_error
baseline_pinn,0.0001281102595385164,2.025048161158338e-06,2.6263883512456232e-08
psi_xlstm_clustering,0.00011540672858245671,2.0375482563395053e-06,3.097113054906231e-08
